"Código","Unidade Territorial","UF","Referência","Quantidade total de pessoas em famílias beneficiárias do Programa Bolsa Família"
"120001","ACRELÂNDIA","AC","08/2020","6289"
"120005","ASSIS BRASIL","AC","08/2020","6163"
"120010","BRASILÉIA","AC","08/2020","11702"
"120013","BUJARI","AC","08/2020","5784"
"120017","CAPIXABA","AC","08/2020","5296"
"120020","CRUZEIRO DO SUL","AC","08/2020","45445"
"120025","EPITACIOLÂNDIA","AC","08/2020","6686"
"120030","FEIJÓ","AC","08/2020","21418"
"120032","JORDÃO","AC","08/2020","6416"
"120033","MÂNCIO LIMA","AC","08/2020","12935"
"120034","MANOEL URBANO","AC","08/2020","7368"
"120035","MARECHAL THAUMATURGO","AC","08/2020","12427"
"120038","PLÁCIDO DE CASTRO","AC","08/2020","6033"
"120039","PORTO WALTER","AC","08/2020","7207"
"120040","RIO BRANCO","AC","08/2020","91759"
"120042","RODRIGUES ALVES","AC","08/2020","10408"
"120043","SANTA ROSA DO PURUS","AC","08/2020","5060"
"120045","SENADOR GUIOMARD","AC","08/2020","12419"
"120050","SENA MADUREIRA","AC","08/2020","27840"
"120060","TARAUACÁ","AC","08/2020","31992"
"120070","XAPURI","AC","08/2020","7795"
"120080","PORTO ACRE","AC","08/2020","10011"
"270010","ÁGUA BRANCA","AL","08/2020","10885"
"270020","ANADIA","AL","08/2020","7638"
"270030","ARAPIRACA","AL","08/2020","59651"
"270040","ATALAIA","AL","08/2020","23142"
"270050","BARRA DE SANTO ANTÔNIO","AL","08/2020","10027"
"270060","BARRA DE SÃO MIGUEL","AL","08/2020","3710"
"270070","BATALHA","AL","08/2020","9985"
"270080","BELÉM","AL","08/2020","2519"
"270090","BELO MONTE","AL","08/2020","4232"
"270100","BOCA DA MATA","AL","08/2020","11082"
"270110","BRANQUINHA","AL","08/2020","5430"
"270120","CACIMBINHAS","AL","08/2020","5972"
"270130","CAJUEIRO","AL","08/2020","10345"
"270135","CAMPESTRE","AL","08/2020","3899"
"270140","CAMPO ALEGRE","AL","08/2020","15126"
"270150","CAMPO GRANDE","AL","08/2020","7244"
"270160","CANAPI","AL","08/2020","13708"
"270170","CAPELA","AL","08/2020","7255"
"270180","CARNEIROS","AL","08/2020","5727"
"270190","CHÃ PRETA","AL","08/2020","4115"
"270200","COITÉ DO NÓIA","AL","08/2020","5228"
